Choms Sławomir Choszcz #         choms.sierakowice@gmail.com     #575 722 999
Pentra - Bud Daniel Zakrzewski #         djzakrzewski@wp.pl     #(58) 562 30 58
Perfect Mebel Emil Kąkol ##514 250 785
Perfekt Home Łukasz Guzowski Usługi Remontowo-Wykończeniowe #         xchevyx@wp.pl     #Oceń firmę i napisz o niej opinię:
Phu Bramont Marlena Wróbel #         bramont@vp.pl     #Oceń firmę i napisz o niej opinię:
PHU Górski Jacek Górski ##505 039 328
PHU Tadeusz Kobierski ##605 033 837
Piaskownia-Piotr Kalinowski #         biuro-kalinowscy@wp.pl     #608 036 844
Piaskownica Piotr Molin #         piotrekm15@vp.pl     #693 865 736
Pio-Meb Piotr Hermański ##694 879 437
Piotr Gajewski Usługi Budowlane ##661 354 319
Piotr Kaak PHU ##606 623 243
Piotr Nowak Zakład Ogólnobudowlany &quot;Now-Bud&quot;; Bar Gastronomiczny &quot;Pokusa&quot; ##(59) 845 31 73
Płytki Włoskie Sp. z o.o. ##(58) 551 96 01
&quot;Pollytag&quot; S.A. #         office@pollytag.com.pl     #(58) 347 48 02
Porożyński Rafał Zabezpieczenia Przeciw Pożarowe Roboty Budowlane ##507 326 543
Powertech Wojciech Gawrysiuk #         wojciech.gawrysiuk@gmail.com     #514 778 384
PPHU Andrew FU Rniture Andrzej Pazda #         andrew.pazda@op.pl     #Oceń firmę i napisz o niej opinię:
PPHU Art-Plast Wojciech Walacik ##605 600 471
Profesja Przemysław Burzak #         przemekburzak@wp.pl     #519 775 776
Prof.Rent.Anna Gulewicz ##501 865 678
Project Stone ##535 989 899
&quot;Prostil&quot; S.C. Tadeusz Bednarczyk Wojciech Lewandowski ##(58) 683 76 65
&quot;Pryzmat&quot; Przedsiębiorstwo Handlowo-Usługowe Nadzory Inwestorskie Robert Miotk. ##603 644 500
Przedsiebiorstwo Produkcyjno-Handlowo-Usługowe Inko Marta Głowacka Wspólnik Spółki Cywilnej #         cencelek@wp.pl     #600 540 530
Przedsiębiorstwo Handlowo-Usługowe Radosław Lorbiecki #         anetalorbiecka@interia.pl     #792 102 576
Przedsiębiorstwo Handlowo-Usługowe Sychta Krzysztof ##665 229 636
Przedsiębiorstwo Produkcji Kruszyw Spółka z o.o. ##(55) 276 10 21
Przedsiębiorstwo Produkcyjno Usługowe Dyll Mariusz Wilgocki #         mariusz.wilgocki@gmail.com     #Oceń firmę i napisz o niej opinię:
Przedsiębiorstwo Usługowo-Budowlane Dawid Statnik #         dawid.statnik@gmail.com     #Oceń firmę i napisz o niej opinię:
Przemysław Klinkosz Baugen #         przemyslaw.klinkosz@gmail.com     #Oceń firmę i napisz o niej opinię:
Przeszklone Patryk Ratkiewicz #         pratkiewicz@przeszklone.pl     #Oceń firmę i napisz o niej opinię:
P.U.T. &quot;Arwit&quot; Arkadiusz Wicki #         biuro@arwitluzino.pl     #601 832 875
Quality Montaż Mebli Konrad Kościuszko #         tadzik88@gmail.com     #Oceń firmę i napisz o niej opinię:
Rafał Bocho #         gizbert55@wp.pl     #Oceń firmę i napisz o niej opinię:
Rafał Kocinski #         roni1@o2.pl     #Oceń firmę i napisz o niej opinię:
Rafał Kostrzewski Firma Remontowo-Budowlana ##465 319 474
Raf-Bud Ziomkowski Rafał #         rafal-ziomkowski@wp.pl     #Oceń firmę i napisz o niej opinię:
Raf-Kos Rafał Kosiek #         r-kosiek@wp.pl     #Oceń firmę i napisz o niej opinię:
&quot;Raf-Stol&quot; Rafał Stryjek #         rstryjek40@wp.pl     #516 587 103
Regliński Gabriel PPHU Gabrex ##(58) 681 84 78
&quot;Rem&quot; Systemy Przeciwsłoneczne Małgorzata Byczkowska #         laparo1@wp.pl     #(58) 552 12 23
Remleksy Adrian Oleksik #         adrianoleksik12@gmail.com     #Oceń firmę i napisz o niej opinię:
&quot;Rem-Tech&quot; Firma Remontowo-Usługowa Mirosław Kentzer ##506 521 774
&quot;Rewers&quot; Wojciech Piotrowski #         rewers40@o2.pl     #(58) 677 03 03
Roelle Design Daniel Barczuk #         biuro@roelledesign.pl     #691 590 110
Rolblind Wojciech Piepiórka #         rolblind@wp.pl     #607 346 732
Roman Majewski Przedsiębiorstwo Handlowo-Usługowe &quot;Oliwia&quot; ##(59) 862 79 26
Roman Różek Firma R.K-Bud #         romanrozek66@wp.pl     #663 008 168
Roman Spitzka Roman Spitzka Przedsiebiorstwo Produkcyjno-Handlowo-Usługowe &quot;Brolet&quot; #         biuro@brolet.pl     #(52) 396 15 15
Romar Reszczyńscy Sp. Jawna ##(58) 562 07 48
Royal Cement Eu Sp. z o.o. ##(71) 346 15 54
Rozińska Grażyna Materiały Budowlane ##501 867 656
&quot;Roz-Mar&quot; Marcin Rozenbangier Usługowy Zakład Parkieciarsko-Stolarski ##663 146 570
&quot;RR&quot; Zakład Kamieniarski Krzysztof Dering #         biuro@kamieniarstwo-gdynia.pl     #607 086 002
&quot;Ruben&quot; Sp. z o.o. #         ruben@ruben.com.pl     #Oceń firmę i napisz o niej opinię:
Salu Sp. z o.o. ##(55) 276 00 81
Scarabeus Patryk Żukowski #         pat.zukowski@wp.pl     #Oceń firmę i napisz o niej opinię:
Sergiusz Sledz Abc-Serwis #         abcserwis@o2.pl     #607 809 203
Seven Sp. z o.o. #         seven.ch@gmail.com     #795 034 828
Seweryn Jankowski Bar Savage ##790 566 223
S.G. Gladpol Sp. z o.o. #         gladyszgladpol@wp.pl     #(58) 530 02 16
Skrobidecha Seweryn Jażdżewski ##506 871 188
Sławomir Kwidziński #         slawekk225@wp.pl     #Oceń firmę i napisz o niej opinię:
Sławomir Poterski Serwis Okien #         servisokien@wp.pl     #504 716 691
Sławomir Wandtke ##511 097 694
Słowik - Bud Dawid Słowik #         dawid.slowik1@wp.pl     #Oceń firmę i napisz o niej opinię:
Społeczny Komitet Budowy Pomnika Generała Brygady Stanisława Franciszka Sosabowskiego w Lęborku ##601 651 470
&quot;Starbud&quot; Sp. z o.o. ##(58) 531 39 21
Starbud Sp. z o.o. ##(58) 531 39 21
Stol - Kam Domachowski Kamil ##500 511 312
&quot;Stoltem&quot; Krzysztof Tempski ##501 188 172
Stora Rolety Piotr Staniec #         storarolety@gmail.com     #Oceń firmę i napisz o niej opinię:
Stww Okna i Drzwi Andrzej Pietrzak #         andrzejpietrzak@vp.pl     #Oceń firmę i napisz o niej opinię:
Sunrise Cezary Nawrocki #         cezarynawrocki2018@gmail.com     #Oceń firmę i napisz o niej opinię:
Supremum Patryk Maćkowiak #         firmasupremum@gmail.com     #796 861 497
System Zabezpieczeń Wnętrz Drzwi - Instal Marek Waszkiewicz ##535 808 408
&quot;Szach&quot; Sklep Wiesław Czyż #         sklep@firmaszach.pl     #Oceń firmę i napisz o niej opinię:
Szmaragd Meble Wojciech Krefta #         greenwojtek@interia.eu     #Oceń firmę i napisz o niej opinię:
Szymon Muński #         szymekmunski@wp.pl     #516 380 097
Szymon Wilke #         inwestokno@wp.pl     #Oceń firmę i napisz o niej opinię:
Śląskie Kruszywa Naturalne Sp. z o.o. Biuro Handlowe #         gdynia@skn.pl     #(58) 663 77 72
Świderski Józef ##(58) 683 89 84
Tad-Bud Wasylke Tadeusz ##694 841 541
Targaszewski Maciej Handel Transport Usługi ##511 156 918
&quot;Tazo&quot; Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe Stanisława Marczewska #         sayra1@wp.pl     #Oceń firmę i napisz o niej opinię:
Tech - Art Usługi Stolarsko-Budowlane Krzysztof Futrzyński ##504 471 130
Techniczne Wyposażenie Mieszkań Pascal Wężowski #         technicznewyposazenie@gmail.com     #Oceń firmę i napisz o niej opinię:
Tempra Meble Marcin Tempski #         martemp@wp.pl     #501 974 485
&quot;Ter-Dom&quot; Przedsiębiorstwo Handlowo-Usługowe Teresa Wanda ##(59) 834 54 33
&quot;Terkom&quot; PHU Piotr Łukjanow ##501 504 328
Tkach Montage Service Sp. z o.o. #         tkachmontageservice@gmail.com     #Oceń firmę i napisz o niej opinię:
Tm Czesław Montaż Okien i Drzwi Tomasz Mielewczyk #         tomekmiel32@gmail.com     #Oceń firmę i napisz o niej opinię:
Tns - Sp. z o.o. #         tns.tg@wp.pl     #(58) 303 21 82
Tomasz Szmidt Kopalnia Piasku Usługi Transportowo - Przewozowe #         tomala1973@op.pl     #Oceń firmę i napisz o niej opinię:
Tomwood - Tomasz Troczyński #         tomasztroczynski066@gmail.com     #Oceń firmę i napisz o niej opinię:
Topaz #         topaz.tadzino@wp.pl     #693 701 445
Toprol Maciej Kapuściński #         biuro@toprol.eu     #Oceń firmę i napisz o niej opinię:
Tosia Sp. z o.o. ##608 207 931
Traf Bis Mirosław Cybulski ##509 278 819
&quot;Trans-Kop&quot; Usługi Ziemno-Transportowe Jacek Czarnowski #         transkopdamnica@onet.pl     #501 028 143
Transmont Piotr Kłudkowski ##501 981 501
Transport - Żwirownia Mirosław Marciński ##509 523 012
&quot;Triglav&quot; Michał Łoń Usługi Ogólnobudowlane - Prace Ziemne #         praceziemne107@wp.pl     #728 493 034
Ultra Vista&quot; Jacek Drobiński &quot; ##501 447 911
&quot;U-Met-San&quot; Firma Handlowo-Usługowa Halina i Kazimierz Kleina Sklep ##(58) 552 80 95
&quot;U-Met-San&quot; Firma Handlowo-Usługowa Halina i Kazimierz Kleina Sklep Przemysłowy ##(58) 552 53 26
Unibygg Ryszard Jeka ##(58) 621 46 78
Usługi Budowlane Mirosław Kropisz ##696 040 110
Usługi Budowlane Tadeusz Pruchnik ##583 062 156
Usługi Monterskie Mateo Mateusz Adam Olzak #         matisak4@gmail.com     #Oceń firmę i napisz o niej opinię:
Usługi Montersko-Budowlane Marcin Sałek ##697 315 920
Usługi Ogólno Budowlane Łukasz Dąbk #         lukaszdabk@poczta.fm     #Oceń firmę i napisz o niej opinię:
Usługi Ogólnobudowlane Adam Wąs ##889 774 671
Usługi Ogólnobudowlane Dariusz Jakubowski ##609 316 468
Usługi Ogólnobudowlane Dawid Urban ##724 996 680
Usługi Ogólnobudowlane Janusz Makowiecki ##515 606 596
Usługi Ogólnobudowlane Krzysztof Kleinschmidt ##505 432 335
Usługi Ogólnobudowlane Marcin Kański #         marcinkanski80@wp.pl     #Oceń firmę i napisz o niej opinię:
Usługi Ogólnobudowlane Marcin Stracke ##789 234 086
&quot;Usługi Ogólnobudowlane&quot; Sławomir Łyczak #         hvgjhg@dfs.pl     #512 426 554
Usługi Ogólnobudowlane Waldemar Ceynowa ##531 226 685
Usługi Remontow-Budowlane Krzysztof Kossak ##519 669 814
Usługi Remontowo-Budowlane Adrian Melcer ##508 406 162
Usługi Remontowo-Budowlane Miotk Grażyna #         gra-mio602@wp.pl     #(58) 672 63 36
Usługi Remontowo-Wykończeniowe &quot;Toma&quot; Tomasz Stachowicz #         toma.stachowicz@gmail.com     #886 676 784
Usługi Stolarskie Adrian Lipiński #         adis0074@wp.pl     #(58) 686 12 20
Usługi Stolarskie Bakus Meble Adam Walkusz #         adam-walkusz@wp.pl     #Oceń firmę i napisz o niej opinię:
Usługi Stolarskie Feliks Śledź ##797 364 026
Usługi Stolarskie Grzegorz Dudek ##509 144 197
Usługi Stolarskie Zdzisław Szynszecki #         szynszecki@gmail.com     #Oceń firmę i napisz o niej opinię:
Usługi Ślusarsko-Budowlane Marek Lorbiecki ##781 939 272
Usługi Transportowe Materiały Budowlane i Sypkie Dariusz Daniels ##660 099 791
Usługi Transportowo - Budowlane Wojciech Kuczkowski ##503 171 009
Usługi Ziemne i Drogowe Alfred Miklaszewicz #         a.miklaszewicz@onet.pl     #(58) 679 13 81
Ventana Magdalena Repetowicz #         magdalena.repetowicz@madera-art.pl     #570 420 480
Via Polonia Sp. z o.o. ##(58) 676 13 31
Vitrol Ins Sp. z o.o. #         teti.iermolenko@gmail.com     #574 540 623
Waldemar Lemańczyk Deskorama #         deskorama@wp.pl     #607 556 021
Waldemar Zygmunt Usługi Ogólno-Budowlane w.Zygmunt ##508 909 844
&quot;Wapex&quot; Sp. z o.o. Przedsiębiorstwo Produkcyjno-Handlowe #         wapexreda@wp.pl     #513 104 599
Wienerberger Ceramika Budowlana Sp. z o.o. ##(59) 863 72 02
Wiesław Koszałka Zakład Usługowy - w.Koszałka #         wiesiokoszalka@op.pl     #886 799 902
Wikmar Magdalena Rajzyngier #         wiktoria04@op.pl     #Oceń firmę i napisz o niej opinię:
Wiśniewski Marcin #         marcinw0078@wp.pl     #Oceń firmę i napisz o niej opinię:
Wojciech Byczkowski Kominki Piece i Prace Ogólnobudowlane ##501 120 448
&quot;Wojt-Bud&quot; Firma Usługowo-Remontowo-Budowlana Wojciech Noga #         wojciech.noga1@wp.pl     #608 081 407
&quot;Wydobycie Kruszywa&quot; Jerzy Łangowski Oraz &quot;Invest&quot; Jerzy Łangowski ##(58) 536 29 09
Zakład Eksploatacji Kruszywa Naturalnego S.C. #         miroslawa-nowak3@wp.pl     #608 835 433
Zakład Produkcji Kruszyw #         kontakt@kruszywagniew.pl     #(58) 722 24 00
Zakład Produkcji Wyrobów Betonowych Mibet #         mibet.slupsk@wp.pl     #605 948 883
&quot;Zawisza&quot; PHU Stanisław Zawisza ##500 652 411
Zenon Ninca Usługi Ogólnobudowlane ##501 515 882
ZPUH Kruszbet S.C. #         kruszbet@hot.pl     #(58) 776 20 81
ZUH Roman Jerzy ##602 796 457
Żelechowski Paweł Pz Usługi Ogólnobudowlane #         zel1814@wp.pl     #Oceń firmę i napisz o niej opinię:
Żwir Best S.C. #         biuro@zwir-best.pl     #501 154 989
Żwir Max Sp. z o.o. #         zwirmax@vp.pl     #604 733 462
&quot;Żwirownia&quot; #         bernadeta1983@o2.pl     #694 473 667
Żwirownia ##605 033 837
Żwirownia Aleksandra i Ewelina Babij S.C. #         zwirowniababij@gmail.com     #Oceń firmę i napisz o niej opinię:
Żwirownia Chojnice Sp. z o.o. ##608 036 844
Żwirownia Henryk Lehmann #         renatahenio123.1@o2.pl     #693 069 676
Żwirownia Kanion Sp. z o.o. #         zwirownia.kanion@wp.pl     #889 695 084
&quot;Żwirownia Kozin&quot; Sp. z o.o. #         zwirowniakozin@wp.pl     #608 297 798
Żwirownia Kozin-Kruszywa Sp. z o.o. #         zwirowniakozin@wp.pl     #Oceń firmę i napisz o niej opinię:
Żwirownia Nowe Gołębiewko Sp. z o.o. ##780 024 900
Żwirownia Pręgowo Sp. z o.o. ##(58) 301 03 35
Żwirownia Pręgowo Sp. z o.o. Sp.k. ##(58) 301 03 35
Żwirownia S.C. #         bernadeta1983@o2.pl     #694 473 667
&quot;Żwirownia&quot; S.C. Bernadeta Klein ##694 473 667
Żwirownia S.C. Tadeusz Bogdanowicz Mirosław Mąkosa Roman Bogdanowicz ##505 175 333
&quot;Żwirownia&quot; S.C. Tadeusz Bogdanowicz Mirosław Mąkosa Roman Bogdanowicz #         zwirowniademlin@wp.pl     #505 175 333
ŻWIROWNIA SZEMUD I Krzysztof Kwidziński #         zwirownia.kwidzinski@gmail.com     #503 186 293
&quot;Żwirownia Wenta&quot; Dorota Wenta ##600 315 384
Żwirownia Żwir-Boss Tomasz Kobierowski ##533 964 888
