Medyczna Przychodnia ##(32) 370 24 14
Lar-Med Nzoz #         nzozlarmedzywiec@gmail.com     #(33) 860 26 63
Samodzielny Publiczny Szpital Kliniczny nr 5 Śląskiego Uniwersytetu Medycznego ##(32) 358 12 00
Samodzielny Publiczny Szpital Kliniczny nr 6 Śląskiego Uniwersytetu Medycznego Górnośląskie Centrum Zdrowia Dziecka im. Jana Pawła II ##(32) 207 18 00
Samodzielny Publiczny Szpital Miejski ##(32) 413 03 00
Samodzielny Publiczny Wojewódzki Szpital Chirurgii Urazowej im. J. Daaba ##(32) 393 41 00
Samodzielny Publiczny Wojewódzki Szpital Chirurgii Urazowej im. J. Daaba w Piekarach Śl. XI i XII Oddział Rehabilitacji #         sekretariat@urazowka.piekary.pl     #(34) 353 36 31
Samodzielny Publiczny Zakład Opieki Zdrowotnej MSW im. G. Załogi ##(32) 782 72 00
Samodzielny Publiczny Zakład Opieki Zdrowotnej Skalmed ##(34) 315 20 10
Samodzielny Publiczny Zespół Opieki Zdrowotnej Oddział Anestezjologii i Intensywnej Terapii ##(34) 351 49 38
Samodzielny Publiczny Zespół Opieki Zdrowotnej Oddział Chirurgii Ogólnej ##(34) 351 49 36
Samodzielny Publiczny Zespół Opieki Zdrowotnej Oddział Chorób Wewnętrznych ##(34) 350 63 56
Samodzielny Publiczny Zespół Opieki Zdrowotnej Oddział Gruźlicy i Chorób Płuc ##(34) 356 24 15
Samodzielny Publiczny Zespół Opieki Zdrowotnej Oddział Noworodków ##(34) 351 49 43
Samodzielny Publiczny Zespół Opieki Zdrowotnej Oddział Pediatryczny ##(34) 350 63 54
Samodzielny Publiczny Zespół Opieki Zdrowotnej Oddział Położniczo-Ginekologiczny ##(34) 351 49 41
Samodzielny Publiczny Zespół Opieki Zdrowotnej w Lublińcu ##(34) 350 63 80
Samol Joanna NZOZ Pomoc Medyczna #         pomocmedyczna@interia.pl     #502 902 782
Sana Niepubliczny Zakład Opieki Zdrowotnej Poradnia Lekarza Rodzinnego #         anetasimka@op.pl     #(32) 212 01 33
Sanimed Jarosław Jędrzejowski ##694 483 118
Sanmed Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Lekarska Andrzej Smyk #         asmyk@autograf.pl     #Oceń firmę i napisz o niej opinię:
San-Med Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej ##(32) 238 36 82
San-Med Sp. z o.o. Przychodnia Lekarska ##(32) 327 60 61
Sanmed Sp. z o.o. Wytwórnia Sprzętu Sanitarnego ##(32) 202 95 89
Sano Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej #         nzoz_sano@poczta.onet.pl     #(32) 270 12 25
Sanopuls Jacek Kuna ##601 258 070
Sante Niepubliczny Zakład Opieki Zdrowotnej ##(32) 264 38 74
Santi Med Sp. z o.o. #         santimed@interia.pl     #(32) 285 87 62
Sanus Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej ##(32) 271 32 62
Sanusvita Sklep Zielarsko-Medyczny Justyna Maślanka ##732 757 887
Sanvita Niepubliczny Zakład Opieki Zdrowotnej Centrum Zdrowia #         kigw@wp.pl     #(32) 336 26 14
Sawmed Pogotowie Ratunkowe NZOZ #         sawmed@interia.pl     #Oceń firmę i napisz o niej opinię:
S.C. Pol-Med Janecki Wiesław Korbela Piotr Chmiel Krzysztof Kolibabka Bogusław ##609 778 049
Scapula S.C. Praktyka Grupowa Lekarzy ##(33) 864 15 16
Sebastian Głowoc Usługi Medyczne #         sebastianglowoc@gmail.com     #Oceń firmę i napisz o niej opinię:
Sebbin Polska FHU Elwira Stachoń ##608 836 587
Selexim Sp. z o.o. Gabinety Lekarskie #         chodanb@op.pl     #(32) 222 25 06
Sensomedical Sp. z o.o. #         biuro@sensomedical.pl     #(22) 201 33 00
Sensomedical Sp. z o.o. Sp. K. #         biuro@sensomedical.pl     #(22) 201 33 00
Serafin Clinic Spejalistyczne Centrum Medyczne #         clinic.serafin@prokonto.pl     #690 807 090
Serapis Sp. z o.o. ##(33) 496 02 33
Serce S.C. Niepubliczny Zakład Opieki Zdrowotnej #         nzoz-serce@wp.pl     #(32) 469 32 58
Servimed S.C. Ośrodek Zdrowia ##(32) 427 80 30
Servimed S.C. Ośrodek Zdrowia #         romankubek@op.pl     #(32) 430 11 23
Servimed S.C. Ośrodek Zdrowia ##(32) 427 80 20
Serwis Aparatury Medycznej Laboratoryjnej i Fotowoltaiki Sp. z o.o. ##(33) 810 47 95
Sępiak Bartłomiej Działalność w Zakresie Ratownictwa Medycznego ##664 993 067
Shar-Pol Sp. z o.o. #         office@shar-pol.com.pl     #(32) 231 36 07
Siciarz W. Siciarz G. Matyja M. Sp.p. Niepubliczny Zakład Opieki Zdrowotnej ##501 215 144
Sigma-Bi Niepubliczny Zakład Opieki Zdrowotnej ##(32) 281 13 14
Sigma-Bi Niepubliczny Zakład Opieki Zdrowotnej ##(32) 389 70 75
Sigma-Bi Niepubliczny Zakład Opieki Zdrowotnej #         sigma-bi@sigma-bi.pl     #(32) 389 70 85
Signum Centrum Zdrowia #         salon@optyk-okulista.pl     #(32) 350 00 37
Sikora Bednorz Dorota Studio Protetyki Estetycznej Ideal Dorota Sikora-Bednorz #         info@studio-ideal.pl     #(32) 434 18 13
Silesia Niepubliczny Zakład Opieki Zdrowotnej ##(32) 240 86 65
Silesiamed Niepubliczny Zakład Opieki Zdrowotnej #         info@domseniora-silesia.eu     #(32) 223 02 34
Silesiamed Sp. z o.o. #         silesia_ksiegowosc@vp.pl     #(32) 243 01 40
Silesian Medical Center Sp. z o.o. ##602 346 453
Silesiana Sp. z o.o. Bytomskie Centrum Medyczne #         sekretariat@silesiana.info.pl     #(32) 274 47 57
Silverdent Sebastian Jenderko #         mondrum@op.pl     #Oceń firmę i napisz o niej opinię:
Simed Niepubliczny Zakład Opieki Zdrowotnej ##(32) 736 10 30
Skafarowska-Łyko Ewa Centrum Medyczne NZOZ Edent Ewa Skafarowska - Łyko 47-400 Racibórz Ul. Rudzka 81 #         nzoz_edent@wp.pl     #(32) 419 03 59
Skałbania Wojciech Opt-Kom S.C. #         woj.ska@wp.pl     #(32) 262 26 44
Skin Clinic Kosmetologia Medyczna i Estetyczna Emilia Kustoś ##663 345 332
Sklep Medyczny #         ewa.teresa.krol@gmail.com     #500 337 002
Sklep Medyczny Joanna Puto ##663 549 777
Sklep Medyczny Joanna Puto Wypożyczalnia Sprzętu Med #         sklepmedyczny.puto@o2.pl     #663 549 777
Sklep Medyczny Klaudiusz ##513 638 098
Sklep Medyczny Lexmed #         karina.chodan@gmail.com     #531 348 785
Sklep Medyczny Lider-Med Lidia Skrzypczak #         lidka_200@interia.pl     #691 339 440
Sklep Medyczny Ortimed Monika Hutnik, Monika Haber S.C. ##(34) 361 10 92
Sklep Medyczny Ortin Sylwester Karoń #         sklep@ortin.pl     #(34) 374 32 98
Sklep Medyczny Sprawność Aneta Borowiec-Pniak #         anetabp@op.pl     #Oceń firmę i napisz o niej opinię:
Sklep Medyczny Sprawność Łukasz Chowaniec #         lukasz84ch@poczta.fm     #Oceń firmę i napisz o niej opinię:
Sklep Medyczny w Milówce #         sklep@rehasklep.com.pl     #(33) 861 11 31
Sklep Ortopedyczno - Medyczny Remi - Med. Beata Kasperek Katarzyna Węgiel - S.C. #         sklep.remimed@gmail.com     #Oceń firmę i napisz o niej opinię:
Sklep Ortopedyczno-Medyczny Medicon S.C. Małgorzata Winczowska Inga Winczowska #         winczowskam@gmail.com     #609 667 994
Sklep Specjalistycznego Zaopatrzenia Medycznego Cemedik Katarzyna Ceglarek #         k.ceglarek@onet.pl     #728 463 928
Sklep Specjalistycznego Zaopatrzenia Medycznego Jakub Jachym Tomasz Jachym S.C. ##(32) 297 00 36
Sklep Specjalistycznego Zaopatrzenia Medycznego Jakub Jachym Tomasz Jachym S.C. ##(32) 671 03 08
Sklep Zaopatrzenia Medycznego Sylwia Olszar-Jakubiec #         milowka@srmed.pl     #502 192 050
Sklep Zaopatrzenia Medycznego Sylwia Olszar-Jakubiec #         zarzad@srmed.pl     #514 896 500
Sklep Zaopatrzenia Medycznego Sylwia Olszar-Jakubiec #         buczkowice@srmed.pl     #514 811 689
Sklep Zielarsko - Medyczny Herbamed Alicja Kołodziejczyk ##791 067 167
Sklep Zielarsko Medyczny ALOES #         aloes.ziel@gmail.com     #504 304 982
Sklep Zielarsko-Medyczny Aloes Edyta Blanik #         aloes.radlin@wp.pl     #Oceń firmę i napisz o niej opinię:
Sklep Zielarsko-Medyczny Hibiscus #         jano.mo@op.pl     #517 397 101
Sklep Zielarsko-Medyczny Joanna Śleziona ##789 230 102
Sklep Zielarsko-Medyczny Sonia Szczubiał #         soniaszczubial@gmail.com     #(32) 314 00 58
Sklep Zielarsko-Medyczny Św. Anny #         sklep.anny@prokonto.pl     #(32) 708 01 40
Sklep Zielarsko-Medyczny Verbena Sylwia Cytryńska #         zielarskiverbena@op.pl     #516 419 719
Sklep zielarsko-medyczny, zielarnia Po Zdrowie #         zielarnia@pozdrowie24.pl     #507 508 577
Sklep zielarsko-medyczny, zielarnia Po Zdrowie #         marlena@pozdrowie24.pl     #507 210 668
Sklep zielarsko-medyczny, zielarnia Po Zdrowie #         marlena@pozdrowie24.pl     #507 384 388
Sklep zielarsko-medyczny, zielarnia Po Zdrowie #         marlena@pozdrowie24.pl     #507 727 205
Skop Cezary Pracownia Techniki Dentystycznej ##604 347 653
Skrzelowski Tomasz Laboratorium Techniki Dentystycznej Ten-Dent #         tendent@op.pl     #Oceń firmę i napisz o niej opinię:
Skrzypiec-Czernia Karina  Gabinet Protetyki Dentystycznej  ##505 049 741
Słapa-Uznańska Violetta Parzonek Jolanta Laboratorium Analityczne ##(32) 422 49 66
Sławomir Idziak #         slawomir.idziak68@gmail.com     #Oceń firmę i napisz o niej opinię:
Służba Medycyny Pracy Wiesław Wysocki ##(33) 851 45 17
Snzoz Zdrowie Kobiety i Dziecka Sp. z o.o. ##602 798 637
Sobas Sp.j. Jurajskie Centrum Medyczne #         jcm@jcm.com.pl     #(32) 670 67 91
Sobtex Sobala Piotr ##607 072 416
Sofmed Agnieszka Lewandowska ##512 714 505
Sosnowiecki Szpital Miejski Sp. z o.o. w Restrukturyzacji ##(32) 413 01 00
Sośnica Przychodnia ##(32) 331 73 99
Sośnica-Med Sp. z o.o. #         sosnicamed@poczta.fm     #(32) 279 63 03
Soteria S.C. Barbara Bernacka-Szarla Elżbieta Ślusarczyk-Głód Wanda Tuszyńska ##(32) 752 29 00
SP CSK im. prof. Kornela Gibińskiego ŚUM w Katowicach ##801 984 040
Specjalista Ratownik Medyczny Krzysztof Szczotka #         krzysztof.radmed@gmail.com     #798 818 605
Specjalistyczna Praktyka Lekarska dr n. med.Tomasz Stołtny ##(32) 209 92 64
Specjalistyczna Praktyka Lekarska Gabinet Dermatologiczny dr nauk medycznych Małgorzata Pindycka-Piaszczyńska #         gpiaszcz@poczta.onet.pl     #604 338 502
Specjalistyczna Praktyka Lekarska Witold Koszekwa ##607 341 452
Specjalistyczne Centrum Medyczne Sad-Med Sp. z o.o. #         klinika@sadmed.com.pl     #(32) 782 40 40
Specjalistyczne Centrum Medyczne Sp. z o.o. #         scm@scmed.pl     #(32) 291 06 79
Specjalistyczne Centrum Stomatologiczno-Medyczne Dentes lek. stom. Barbara Mularczyk ##(32) 299 93 11
Specjalistyczno-Diagnostyczny Ośrodek Zdrowia ##(34) 324 41 55
Specjalistyczno-Diagnostyczny Ośrodek Zdrowia Laboratorium ##(34) 324 41 55
Specjalistyczno-Diagnostyczny Ośrodek Zdrowia Oddział Chirurgii Ambulatoryjnej Krótkoterminowej ##(34) 324 41 55
Specjalistyczny Niepubliczny Zakład Opieki Zdrowotnej Zdrowie Kobiety i Dziecka ##602 798 637
Specjalistyczny Psychiatryczny Zespół Opieki Zdrowotnej Oddział Dzienny Leczenia Psychoz ##(33) 812 30 41
Specjalistyczny Sklep Zaopatrzenia Medycznego Medavit Krzysztof Klauza #         medavit@op.pl     #535 123 613
Specjalistyczny Zespół Chorób Płuc i Gruźlicy ##(33) 499 18 01
Spec-Med Specjalistyczne Centrum Medyczne Niepubliczny Zakład Opieki Zdrowotnej #         zoz.wolnosci@data.pl     #(34) 324 50 57
Spec-Medic Krzysztof Rojek ##511 051 414
Społem Powszechna Spółdzielnia Spożywców Jedność Przychodnia Pracownicza #         sekretariat@spolem.czest.pl     #(34) 371 16 07
Spomed S.C. ##(33) 861 94 85
Spółdzielczy Zakład Zabawkarski Uniwersum Zakład Pracy Chronionej ##(34) 361 93 25
Sprawność Poradnia Rehabilitacyjna Niepubliczny Zakład Opieki Zdrowotnej ##603 844 971
Sprawność Sklepy Medyczne S.C. Aneta Borowiec-Pniak Łukasz Chowaniec ##697 603 737
Sroka Marek NZOZ Fizjo-Med #         fizjomedsc@wp.pl     #(32) 454 34 58
Stacjonarna Policealna Szkoła Medyczna Pascal #         zawiercie@pascal.edu.pl     #535 004 657
Stamar Dorota Szewczyk #         stamar@stamar.pl     #(32) 261 77 20
Stanisław Hula Stanmed #         stanislaw.hula@gmail.com     #Oceń firmę i napisz o niej opinię:
Star - Med Patryk Rusiecki ##511 637 831
Starochorzowska Fundacja Zdrowia i Ekologii Przychodnia ##(32) 736 20 58
Starpool Dariusz Napieracz #         biuro@starpool.pl     #(77) 474 84 04
Start Medycyna Rodzinna #         nzlastart@poczta.onet.pl     #(32) 293 33 31
Statrek-Pet Sp. z o.o. #         robert.maciej.cierniak@gmail.com     #Oceń firmę i napisz o niej opinię:
Stema Med Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej #         stema_med@vp.pl     #(32) 221 56 28
Stema Med Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej ##(32) 221 52 82
Stencel Paweł Komed #         pastuch@interia.pl     #(32) 434 49 77
Steril S.C. Elżbieta Gocyla Jerzy Gocyla ##698 466 235
Sternadel-Rączka Ewa Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Lekarska ##(32) 456 49 76
Stolorz Irena Sklep Zielarsko-Medyczny ##(32) 223 68 22
Stolpa Jarosław NZOZ Poradnia Lekarska Medicus S.C. Skrót: NZOZ Poradnia Lekarska Medicus S ##(32) 292 55 50
Stomatologia NZOZ Lux-Dent ##(32) 472 86 80
Stowarzyszenie Edukacji Medycznej Asklepios ##537 883 952
Stowarzyszenie Osób z Zaburzeniami Psychicznymi i Ich Bliskich Oraz Opiekunów Medycznych Spokojna Przystań ##(32) 273 32 11
Stowarzyszenie Śląska Misja Medyczna To-Misja ##(32) 475 15 26
Studio Uśmiechu Laboratorium Techniki Dentystycznej Anna Kisiała ##663 927 782
Studium Medyczne TEB Edukacja #         katowice@teb.pl     #(32) 352 07 77
Studium Medyczne Teb Edukacja w Bielsku-Białej #         bielsko@teb.pl     #(33) 472 31 50
Sum S.C. Usługi Medyczne ##(32) 258 36 03
Sumedor Tomasz Suwalski #         sumedor@wp.pl     #Oceń firmę i napisz o niej opinię:
Supportmed Łukasz Kopiczko ##(32) 473 90 66
SURGICA Pawełczak #         darekpawelczak@o2.pl     #502 566 030
Syberka Sp. z o.o. NZOZ Centrum Medyczne #         nzozsyberka@poczta.onet.pl     #(32) 267 68 37
Symulatory Medyczne Sp. z o.o. ##509 338 741
Synexus Centrum Medyczne Katowice ##(32) 450 27 11
Syntonia Sp.j. Specjalistyczne Centrum Medyczne J.Giza A.Chabrzyk A.Kaczmarzyk #         centrumsyntonia@gmail.com     #(32) 747 26 89
Szansa Zakład Lecznictwa Odwykowego NZOZ ##(32) 230 32 47
Szczęśniak &amp; Bratek S.C. Przedsiębiorstwo Handlowo-Usługowe #         mgdental@wp.pl     #(32) 291 66 58
Szczurek Lesław Usługi Medyczne #         leszekszczurek@o2.pl     #695 363 126
Szkol-Med S.C. NZOZ Barbara Dzieżok - Beata Szutka #         szkol-med-rybnik@wp.pl     #Oceń firmę i napisz o niej opinię:
Szkol-Med Sp. z o.o. NZOZ ##(32) 765 94 77
Szkol-Med-Info NZOZ #         nzozsmi@interia.pl     #(32) 765 00 37
Szkoła Medyczna TEB Edukacja #         gliwice@teb.pl     #(32) 231 50 47
Szkoła Medyczna TEB Edukacja #         jastrzebie@teb.pl     #(32) 473 11 08
Szkoła Medyczna TEB Edukacja #         tychy@teb.pl     #(32) 327 56 55
Szkoła Medyczna TEB Edukacja #         wloclawek@edicon.com.pl     #(33) 822 34 34
Szkoła Medyczna TEB Edukacja #         zory@teb.pl     #Oceń firmę i napisz o niej opinię:
Szkoła Medyczna TEB Edukacja #         wodzislaw@teb.pl     #(32) 456 18 43
Szkoła Medyczna TEB Edukacja #         czestochowa@teb.pl     #(34) 368 20 44
Szkoła Policealna nr 1 dla Dorosłych w Zespole Szkół Chemiczno-Medycznych i Ogólnokształcących im. M. Skłodowskiej-Curie ##(32) 285 52 34
Szkoła Policealna nr 1 w Zespole Szkół Chemiczno-Medycznych i Ogólnokształcących im. M. Skłodowskiej-Curie ##(32) 285 52 34
Szkoła Policealna nr 6 w Zespole Szkół Medycznych i Ogólnokształcących #         szkola@medyk.bielsko.pl     #(33) 812 27 58
Szóstka Firma Usługowa Kornelia Lipina-Nowak #         matman@ka.onet.pl     #(32) 434 50 47
Szpakmed Sp. z o.o. ##(32) 242 09 54
Szpital Chorób Płuc #         szchpsiewierz@poczta.onet.pl     #(32) 674 14 71
Szpital Chorób Płuc ##(32) 221 36 61
Szpital im. L. Rydygiera ##(34) 370 22 22
Szpital im. S. Leszczyńskiego Dyrekcja ##(32) 251 52 31
Szpital im. S. Leszczyńskiego Zespół nr 1 ##(32) 251 52 31
Szpital im. S. Leszczyńskiego Zespół nr 2 #         szpital@szpital.net.pl     #(32) 258 24 50
Szpital im. T. Chałubińskiego ##(34) 370 22 22
Szpital im. W. Biegańskiego ##(34) 370 22 22
Szpital Kolejowy #         biuro@szpital-kolejowy.com     #(33) 812 20 28
Szpital Miejski ##(32) 228 30 30
Szpital Miejski Nr 4 w Gliwicach Sp. z o.o. #         sekretariat@szpital4.gliwice.pl     #(32) 231 88 88
Szpital nr 2 im. T. Boczonia #         szpital2_myslowice_sekretariat@interia.pl     #(32) 318 33 48
Szpital Pediatryczny ##(33) 828 40 00
Szpital Powiatowy ##(34) 315 82 00
Szpital Powiatowy #         szpital_pyskowice@poczta.onet.pl     #(32) 233 24 24
Szpital Powiatowy ##(32) 674 02 00
Szpital Powiatowy w Zawierciu ##801 984 040
Szpital Psychiatryczny ##(32) 233 41 12
Szpital Rejonowy ##(34) 317 28 61
Szpital Rejonowy im. dr Anki ##(34) 317 52 20
Szpital Rejonowy im. J. Rostka ##(32) 755 50 00
Szpital Reumatologiczno-Rehabilitacyjny #         biuro@gozdroj.pl     #(32) 449 20 00
Szpital Specjalistyczny ##(32) 241 32 55
Szpital Specjalistyczny ##(32) 373 23 00
Szpital Specjalistyczny im. S. Starkiewicza ##(32) 262 31 61
Szpital Specjalistyczny im. S. Starkiewicza Oddział Psychiatryczny ##(32) 262 23 23
Szpital Specjalistyczny nr 1 ##(32) 281 92 41
Szpital Specjalistyczny nr 1 Laboratorium Analityczne ##(32) 396 32 33
Szpital Specjalistyczny nr 1 Oddział Chorób Wewnętrznych i Diabetologii ##(32) 396 32 00
Szpital Specjalistyczny nr 1 Oddział Hematologii ##(32) 396 32 00
Szpital Specjalistyczny nr 1 Oddział Kardiologii ze Stanowiskiem Intensywnego Nadzoru ##(32) 396 32 00
Szpital Specjalistyczny nr 1 Oddział Kliniczny Chirurgii Ogólnej i Gastroenterologicznej ##(32) 396 32 00
Szpital Specjalistyczny nr 1 Oddział Kliniczny Okulistyki ##(32) 396 32 00
Szpital Specjalistyczny nr 1 Oddział Laryngologii ##(32) 396 32 00
Szpital Specjalistyczny nr 1 Oddział Neurologii ##(32) 396 32 00
Szpital Specjalistyczny nr 1 Oddział Obserwacyjno-Zakaźny i Hepatologii Zakaźnej ##(32) 281 92 41
Szpital Specjalistyczny nr 1 Oddział Reumatologii i Rehabilitacji ##(32) 396 32 00
Szpital Specjalistyczny nr 1 Oddział Urologii ##(32) 396 32 00
Szpital Specjalistyczny nr 1 w Bytomiu ##(32) 396 32 00
Szpital Specjalistyczny nr 2 ##(32) 786 14 00
Szpital Świętego Łukasza Bgl Sp. z o.o. S.K.A. #         rejestracja@lukasza.pl     #(33) 815 11 13
Szpital Wielospecjalistyczny ##(32) 616 44 82
Szpital Wojewódzki ##(33) 810 20 00
Szpital Wojewódzki Zakład Rehabilitacji #         szpital@hospital.com.pl     #(33) 810 20 30
Szymik - Taraszkiewicz Krystyna Indywidualna Specjalistyczna Praktyka Lekarska Aura Medica-Centrum Medyczno-Kosmetologiczne ##604 597 190
Szymon Salkowski Usługi Medyczne #         szymon.salkowski@gmail.com     #Oceń firmę i napisz o niej opinię:
Ślaska Wyższa Szkoła Medyczna w Katowicach ##(32) 207 30 70
Śląska Wyższa Szkoła Medyczna ##(32) 207 27 00
Śląski Uniwersytet Medyczny ##(32) 208 36 00
Śląski Uniwersytet Medyczny Biblioteka Główna ##(32) 208 35 37
Śląski Uniwersytet Medyczny w Katowicach Wydział Farmaceutyczny Biblioteka ##(32) 364 14 50
Śląski Uniwersytet Medyczny w Katowicach Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej ##(32) 364 11 20
Śląski Uniwersytet Medyczny w Katowicach Wydział Lekarski Biblioteka ##(32) 271 54 34
Śląski Uniwersytet Medyczny w Katowicach Wydział Lekarski Czytelnia ##(32) 272 26 72
Śląski Uniwersytet Medyczny w Katowicach Wydział Lekarski z Oddziałem Lekarsko-Dentystycznym ##(32) 271 72 17
Śląski Uniwersytet Medyczny w Katowicach Wydział Zdrowia Publicznego ##(32) 397 65 30
Śląski Uniwersytet Medyczny w Katowicach Zespół Domów Studenckich ##(32) 271 49 59
Śląski Uniwersytet Medyczny Wydział Lekarski ##(32) 252 17 39
Śląski Uniwersytet Medyczny Wydział Lekarski Biblioteka ##(32) 208 84 89
Śląski Uniwersytet Medyczny Wydział Opieki Zdrowotnej ##(32) 252 56 49
Śląskie Centrum Chorób Serca ##(32) 373 36 00
Śląskie Centrum Chorób Serca Oddział Kliniczny Wrodzonych Wad Serca i Kardiologii Dziecięcej ##(32) 271 34 01
Śląskie Centrum Medyczne Dom Bez Barier Maja #         kontakt@mieszkaniebezbarier.pl     #(32) 729 88 58
Śląskie Centrum Medyczne Dom Opieki Senior ##(32) 425 40 12
Śląskie Centrum Medyczne Opieka Długoterminowa i Poradnia Ginekologiczno-Położnicza Dla Kobiet ##(32) 451 42 30
Śląskie Centrum Medyczno-Szkoleniowe Dr N.Med.Elżbieta Rabsztyn #         esr@wp.pl     #Oceń firmę i napisz o niej opinię:
Śląskie Centrum Rehabilitacji i Prewencji ##(33) 854 16 32
Śląskie Centrum Zdrowia Kobiety Sp. z o.o. Prywatne Centrum Medyczne #         przychodnia@sczk.pl     #(32) 254 88 90
Śląskie Laboratoria Analityczne Sp. z o.o. ##(32) 359 09 49
Śląskie Laboratoria Analityczne Sp. z o.o. #         bok@sla.com.pl     #(32) 209 75 58
Śląskie Laboratoria Analityczne Sp. z o.o. #         zarzad@sla.com.pl     #(32) 202 83 01
Śląskie Zespoły Poszukiwawczo-Ratownicze Silesia Sar K9 #         silesia.sar.k9@onet.pl     #602 573 010
Śmiech Rafał FUP Asman Elektronik ##664 114 804
Śródmieście Sp. z o.o. Usługi Medyczne Poradnia Dziecięca ##(32) 285 97 77
Śródmieście Sp. z o.o. Usługi Medyczne Przychodnia Rejonowa nr 7 #         umskonto@poczta.onet.pl     #(32) 285 37 15
Śródmieście Sp. z o.o. Usługi Medyczne Przychodnia Specjalistyczna nr 1 ##(32) 285 28 28
Śródmieście Sp. z o.o. Usługi Medyczne Przychodnia Specjalistyczna nr 2 ##(32) 285 28 64
Świat Peruk Marek Rojek Anna Piekoszewska-Szostak S.C. ##509 233 425
Świat Ziół i Przypraw Sklep Zielarsko-Medyczny Elżbieta Zalewska ##609 347 926
Światowid Niepubliczny Zakład Opieki Zdrowotnej ##(34) 313 09 63
Światowid Niepubliczny Zakład Opieki Zdrowotnej ##(34) 313 87 04
Świerczyna Joanna Niepubliczny Zakład Opieki Zdrowotnej Laboratorium Analityki Madycznej #         swierczyna@poczta.onet.pl     #(32) 235 19 00
Świerklany Niepubliczny Zakład Opieki Zdrowotnej #         nzoz_swierklany@wp.pl     #(32) 430 47 31
Święta Monika Sp. z o.o. NZOZ ##(34) 313 73 00
Tabaka Jadwiga Protetyka ##(32) 210 03 98
Taksacja E &amp; R Przedsiębiorstwo Wielobranżowe S.C. Ewa Oleś-Skupień Romuald Skupień ##(32) 456 82 52
Talmed Szkoła Medyczna ##(33) 496 38 66
Tarko Bogusław Pracownia Optyczna ##(32) 299 83 87
Tar-Med S.C. Usługi Medyczne Krystyna Tarnawa Wiesław Tarnawa ##(33) 818 61 41
Tatra-Med Beata Kościelna #         beatakosc@go2.pl     #Oceń firmę i napisz o niej opinię:
TB Polska Sp. z o.o. ##(32) 382 06 90
Tech Mix Katarzyna Płonka ##609 068 555
Tech Mix Katarzyna Płonka #         biuro@techmix.eu     #691 772 823
Techdent Karwot Maciej Laboratorium Protetyczne ##602 639 490
Tech-Form Sp. z o.o. w Organizacji ##601 527 865
Tech-Lab Bogusław Bąk #         techlab@op.pl     #Oceń firmę i napisz o niej opinię:
Techmed Ernest Grzesik #         ernestg@poczta.onet.pl     #603 956 818
Technika Dentystyczna - Anna Adamus #         annada1971@tlen.pl     #Oceń firmę i napisz o niej opinię:
Technika Dentystyczna Agnieszka Goldman ##505 776 410
Technikum nr 1 w Zespole Szkół Chemiczno-Medycznych i Ogólnokształcących im. M. Skłodowskiej-Curie ##(32) 285 52 34
Technikum nr 5 w Zespole Szkół Ogólnokształcących i Medycznych #         medyklubliniec@wp.pl     #(34) 351 14 36
Telecare Sp. z o.o. ##602 746 634
Telmed S.C. Niepubliczny Zakład Opieki Zdrowotnej Marek Telenga Małgorzata Nocoń ##(32) 284 15 35
Termoplastyka #         jola@termoplastyka.com.pl     #(32) 327 00 91
Terra Gabinet Medyczno-Kosmetyczny #         terrasalon@o2.pl     #(33) 817 54 54
Tesa Niepubliczny Zakład Opieki Zdrowotnej Lekarzy Rodzinnych ##(33) 866 18 05
Tesa Niepubliczny Zakład Opieki Zdrowotnej Lekarzy Rodzinnych ##(33) 866 12 84
Testdna Laboratorium Sp. z o.o. #         biuro@testnova.pl     #(32) 445 34 26
Testdna Laboratorium Sp. z o.o. #         biuro@badamydzieci.pl     #576 997 525
Therapeutica Niepubliczny Zakład Opieki Zdrowotnej Centrum Zdrowia Rodziny #         therapeutica@wp.pl     #(32) 272 23 39
Timago International Group Sp. z o.o. #         info@timago.com     #Oceń firmę i napisz o niej opinię:
Tk Mr Rtg Usługi Medyczne Ewa Szuster ##607 266 766
T-Med S.C. Centrum Medyczne Wiesław Koterla, Łukasz Koterla #         wieslaw.koterla@t-med.pl     #Oceń firmę i napisz o niej opinię:
T-Medica Centrum Stomatologiczno-Medyczne #         patryktomasik1975@gmail.com     #(32) 724 22 22
Tomasz Gajda Specjalistyczna Praktyka Lekarska NzozOrtop-Dent #         tgajda@poczta.onet.pl     #600 414 163
Tomasz Kawa NZOZ Lekarzy Rodzinnych Tesa ##795 512 274
Tomasz Kościuk Gabinet Rehabilitacji Medycznej ~Terakos~ #         terapiakosciuk@home.pl     #(33) 858 22 44
Tomasz Kuśka Ratownictwo Medyczne #         tomek.kuska@gmail.com     #Oceń firmę i napisz o niej opinię:
Tomasz Łaszkiewicz #         tomasz.laszkiewicz@gmail.com     #792 500 676
Tomasz Maniera Ratownictwo Medyczne #         tomek_maniera@interia.pl     #Oceń firmę i napisz o niej opinię:
